ID_UB,BUSINESS_UNIT_UB,CUST_TYPE_UB,HCP_PRACTICE_STATUS_CD_UB,PROFESSIONAL_DESIGNATION_CD_UB,ME_NUM_UB,NPI_NUM_UB,IMS_ID_UB,SALUTATION_UB,LAST_NAME_UB,FIRST_NAME_UB,MIDDLE_NAME_UB,ALT_NAME_UB,SUFFIX_UB,GENDER_CD_UB,CORP_SPEC_CD_UB,CORP_SPEC_DESC_UB,PRI_CORP_SPEC_CD_UB,PRI_CORP_SPEC_DESC_UB,SEC_CORP_SPEC_CD_UB,SEC_CORP_SPEC_DESC_UB,TER_CORP_SPEC_CD_UB,TER_CORP_SPEC_DESC_UB,ADDR_ID_UB,ADDR_VALID_STATUS_UB,ADDR_VERF_DELV_IND_UB,LINE1_ADDR_UB,LINE2_ADDR_UB,LINE3_ADDR_UB,LINE4_ADDR_UB,CITY_UB,STATE_UB,ZIP_CD_UB,ZIP_4_UB,MSA_UB,CBSA_UB,COUNTRY_UB,PDRP_FLG_UB,PDRP_FLG_EFF_DATE_UB,CONTACT_IND_UB,COUNTY_CD_UB,COUNTY_NM_UB
2055493104,1,NPRS,ACT,,,1111111111,,MS.,Last_name1,First_name2,Middle_name1,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,2027000774,Y,Y,25201 Paseo De Alicia Ste 110,,,,Laguna Hills,CA,92653,4627,,,US,U,,UNSPEC,59,ORANGE
2114067667,1,NPRS,ACT,OTHR,,1111111112,,MS.,Last_name2,First_name3,Middle_name2,,,F,MSTH,MASSAGE THERAPY,MSTH,MASSAGE THERAPY,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,2027001419,Y,Y,3020 Nw Julia St,,,,Camas,WA,98607,7545,,,US,U,,UNSPEC,53011,CLARK
2072958837,1,PRES,ACT,MD,251923006,1111111113,7946052,DR.,Last_name3,First_name4,Middle_name3,,,M,IM,INTERNAL MEDICINE,IM,INTERNAL MEDICINE,MPD,INTERNAL MEDICINE/PEDIATRICS,UNSPEC,UNSPECIFIED VALUE,2027002677,Y,Y,25 Michigan St Ne Ste 2100,,,,Grand Rapids,MI,49503,2526,,,US,U,,UNSPEC,26081,KENT
2045523488,1,NPRS,ACT,,,1111111114,,MR.,Last_name4,First_name5,Middle_name4,,,M,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,2027001355,Y,Y,835 N Expressway Ste A,,,,Brownsville,TX,78520,6854,,,US,U,,UNSPEC,61,CAMERON
2068988954,1,NPRS,ACT,COUN,,1111111115,,MS.,Last_name5,First_name6,Middle_name5,,,F,BHAV,BEHAVIORAL HEALTH & SOCIAL SERVICES,BHAV,BEHAVIORAL HEALTH & SOCIAL SERVICES,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,2027004057,Y,Y,19411 Helenbirg Rd Ste 102,,,,Covington,LA,70433,5199,,,US,U,,UNSPEC,22103,SAINT TAMMANY
2042105085,1,NPRS,ACT,,,1111111116,,MS.,Last_name6,First_name7,Middle_name6,,,F,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,2027004130,Y,Y,100 Doctors Dr,,,,Frankfort,KY,40601,4102,,,US,U,,UNSPEC,73,FRANKLIN
2112731803,1,NPRS,ACT,MD,,1111111117,,,Last_name7,First_name8,Middle_name7,,,,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,1000811499,Y,Y,610 Nw 11th St,,,,Hermiston,OR,97838,6601,,,US,U,,UNSPEC,41059,UMATILLA
2072435332,1,NPRS,ACT,COUN,,1111111118,,MS.,Last_name8,First_name9,Middle_name8,,,F,BHAV,BEHAVIORAL HEALTH & SOCIAL SERVICES,BHAV,BEHAVIORAL HEALTH & SOCIAL SERVICES,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,2027002130,Y,Y,17335 Pagonia Rd Ste 109,,,,Clermont,FL,34711,6011,,,US,U,,UNSPEC,12069,LAKE
2060035977,1,NPRS,ACT,,,1111111119,,,Last_name9,First_name10,Middle_name9,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,2027002481,Y,Y,41 Madison Ave,,,,New York,NY,10010,2202,,,US,U,,UNSPEC,61,NEW YORK
2072543368,1,NPRS,ACT,COUN,,1111111120,,MS.,Last_name10,First_name11,Middle_name10,,,F,BHAV,BEHAVIORAL HEALTH & SOCIAL SERVICES,BHAV,BEHAVIORAL HEALTH & SOCIAL SERVICES,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,2027003392,Y,Y,340 E Avenue I Ste 101,,,,Lancaster,CA,93535,1941,,,US,U,,UNSPEC,37,LOS ANGELES
